Framework,Method,Run,Epoch,Accuracy
scCDCG,Baseline,scratch,1,0.3411764705882353
scCDCG,Baseline,scratch,2,0.5411764705882353
scCDCG,Baseline,scratch,3,0.6705882352941176
scCDCG,Baseline,scratch,4,0.7529411764705882
scCDCG,Baseline,scratch,5,0.788235294117647
scCDCG,Baseline,scratch,6,0.8470588235294118
scCDCG,Baseline,scratch,7,0.8294117647058824
scCDCG,Baseline,scratch,8,0.9058823529411765
scCDCG,Baseline,scratch,9,0.8294117647058824
scCDCG,Baseline,scratch,10,0.8705882352941177
scCDCG,Baseline,fine_tune,1,0.788235294117647
scCDCG,Baseline,fine_tune,2,0.8529411764705882
scCDCG,Baseline,fine_tune,3,0.9176470588235294
scCDCG,SmallBatch,scratch,1,0.49411764705882355
scCDCG,SmallBatch,scratch,2,0.5941176470588235
scCDCG,SmallBatch,scratch,3,0.7647058823529411
scCDCG,SmallBatch,scratch,4,0.8058823529411765
scCDCG,SmallBatch,scratch,5,0.788235294117647
scCDCG,SmallBatch,scratch,6,0.9058823529411765
scCDCG,SmallBatch,scratch,7,0.9176470588235294
scCDCG,SmallBatch,scratch,8,0.9352941176470588
scCDCG,SmallBatch,scratch,9,0.9588235294117647
scCDCG,SmallBatch,scratch,10,0.9294117647058824
scCDCG,SmallBatch,fine_tune,1,0.8176470588235294
scCDCG,SmallBatch,fine_tune,2,0.8117647058823529
scCDCG,SmallBatch,fine_tune,3,0.8529411764705882
scCDCG,SmallBatch,fine_tune,4,0.8823529411764706
scCDCG,SmallBatch,fine_tune,5,0.9529411764705882
scCDCG,SmallBatch,fine_tune,6,0.9470588235294117
scCDCG,SmallBatch,fine_tune,7,0.9470588235294117
scCDCG,SmallBatch,fine_tune,8,0.9470588235294117
scCDCG,SmallBatch,fine_tune,9,0.8647058823529412
scCDCG,SmallBatch,fine_tune,10,0.888235294117647
scCDCG,MixedPrecision,scratch,1,0.4588235294117647
scCDCG,MixedPrecision,scratch,2,0.5705882352941176
scCDCG,MixedPrecision,scratch,3,0.6705882352941176
scCDCG,MixedPrecision,scratch,4,0.6529411764705882
scCDCG,MixedPrecision,scratch,5,0.7588235294117647
scCDCG,MixedPrecision,scratch,6,0.8176470588235294
scCDCG,MixedPrecision,scratch,7,0.8117647058823529
scCDCG,MixedPrecision,scratch,8,0.9176470588235294
scCDCG,MixedPrecision,scratch,9,0.9764705882352941
scCDCG,MixedPrecision,scratch,10,0.9176470588235294
scCDCG,MixedPrecision,fine_tune,1,0.7941176470588235
scCDCG,MixedPrecision,fine_tune,2,0.8058823529411765
scCDCG,MixedPrecision,fine_tune,3,0.8235294117647058
scCDCG,MixedPrecision,fine_tune,4,0.888235294117647
scCDCG,MixedPrecision,fine_tune,5,0.9176470588235294
scCDCG,MixedPrecision,fine_tune,6,0.9647058823529412
scCDCG,MixedPrecision,fine_tune,7,0.9588235294117647
scCDCG,MixedPrecision,fine_tune,8,0.9588235294117647
scCDCG,MixedPrecision,fine_tune,9,0.9294117647058824
scCDCG,MixedPrecision,fine_tune,10,0.9470588235294117
scCDCG,ReduceComplexity,scratch,1,0.35294117647058826
scCDCG,ReduceComplexity,scratch,2,0.4411764705882353
scCDCG,ReduceComplexity,scratch,3,0.5117647058823529
scCDCG,ReduceComplexity,scratch,4,0.7176470588235294
scCDCG,ReduceComplexity,scratch,5,0.7235294117647059
scCDCG,ReduceComplexity,scratch,6,0.8176470588235294
scCDCG,ReduceComplexity,scratch,7,0.8176470588235294
scCDCG,ReduceComplexity,scratch,8,0.8470588235294118
scCDCG,ReduceComplexity,scratch,9,0.8176470588235294
scCDCG,ReduceComplexity,scratch,10,0.8941176470588236
scCDCG,ReduceComplexity,fine_tune,1,0.7647058823529411
scCDCG,ReduceComplexity,fine_tune,2,0.8529411764705882
scCDCG,ReduceComplexity,fine_tune,3,0.8470588235294118
scCDCG,ReduceComplexity,fine_tune,4,0.9117647058823529
scDLC,Baseline,scratch,1,0.4
scDLC,Baseline,scratch,2,0.4294117647058823
scDLC,Baseline,scratch,3,0.4764705882352941
scDLC,Baseline,scratch,4,0.5941176470588235
scDLC,Baseline,scratch,5,0.7235294117647059
scDLC,Baseline,scratch,6,0.7588235294117647
scDLC,Baseline,scratch,7,0.7705882352941177
scDLC,Baseline,scratch,8,0.7294117647058823
scDLC,Baseline,scratch,9,0.7411764705882353
scDLC,Baseline,scratch,10,0.7941176470588235
scDLC,Baseline,fine_tune,1,0.8117647058823529
scDLC,Baseline,fine_tune,2,0.8176470588235294
scDLC,SmallBatch,scratch,1,0.43529411764705883
scDLC,SmallBatch,scratch,2,0.4764705882352941
scDLC,SmallBatch,scratch,3,0.5
scDLC,SmallBatch,scratch,4,0.5823529411764706
scDLC,SmallBatch,scratch,5,0.6529411764705882
scDLC,SmallBatch,scratch,6,0.6882352941176471
scDLC,SmallBatch,scratch,7,0.6647058823529411
scDLC,SmallBatch,scratch,8,0.711764705882353
scDLC,SmallBatch,scratch,9,0.7705882352941177
scDLC,SmallBatch,scratch,10,0.7470588235294118
scDLC,SmallBatch,fine_tune,1,0.8058823529411765
scDLC,SmallBatch,fine_tune,2,0.8058823529411765
scDLC,MixedPrecision,scratch,1,0.36470588235294116
scDLC,MixedPrecision,scratch,2,0.3176470588235294
scDLC,MixedPrecision,scratch,3,0.4470588235294118
scDLC,MixedPrecision,scratch,4,0.5470588235294118
scDLC,MixedPrecision,scratch,5,0.5352941176470588
scDLC,MixedPrecision,scratch,6,0.6176470588235294
scDLC,MixedPrecision,scratch,7,0.6647058823529411
scDLC,MixedPrecision,scratch,8,0.6882352941176471
scDLC,MixedPrecision,scratch,9,0.7058823529411765
scDLC,MixedPrecision,scratch,10,0.7470588235294118
scDLC,MixedPrecision,fine_tune,1,0.6764705882352942
scDLC,MixedPrecision,fine_tune,2,0.7235294117647059
scDLC,MixedPrecision,fine_tune,3,0.7
scDLC,MixedPrecision,fine_tune,4,0.6647058823529411
scDLC,MixedPrecision,fine_tune,5,0.711764705882353
scDLC,MixedPrecision,fine_tune,6,0.7235294117647059
scDLC,MixedPrecision,fine_tune,7,0.7647058823529411
scDLC,ReduceComplexity,scratch,1,0.4235294117647059
scDLC,ReduceComplexity,scratch,2,0.5117647058823529
scDLC,ReduceComplexity,scratch,3,0.5470588235294118
scDLC,ReduceComplexity,scratch,4,0.6352941176470588
scDLC,ReduceComplexity,scratch,5,0.6411764705882353
scDLC,ReduceComplexity,scratch,6,0.6529411764705882
scDLC,ReduceComplexity,scratch,7,0.7058823529411765
scDLC,ReduceComplexity,scratch,8,0.6764705882352942
scDLC,ReduceComplexity,scratch,9,0.7352941176470589
scDLC,ReduceComplexity,scratch,10,0.7941176470588235
scDLC,ReduceComplexity,fine_tune,1,0.7352941176470589
scDLC,ReduceComplexity,fine_tune,2,0.8058823529411765
scSMD,Baseline,scratch,1,0.5
scSMD,Baseline,scratch,2,0.5705882352941176
scSMD,Baseline,scratch,3,0.5352941176470588
scSMD,Baseline,scratch,4,0.7470588235294118
scSMD,Baseline,scratch,5,0.8705882352941177
scSMD,Baseline,scratch,6,0.8647058823529412
scSMD,Baseline,scratch,7,0.9235294117647059
scSMD,Baseline,scratch,8,0.9705882352941176
scSMD,Baseline,scratch,9,0.9588235294117647
scSMD,Baseline,scratch,10,0.9529411764705882
scSMD,Baseline,fine_tune,1,0.8294117647058824
scSMD,Baseline,fine_tune,2,0.8647058823529412
scSMD,Baseline,fine_tune,3,0.8529411764705882
scSMD,Baseline,fine_tune,4,0.9647058823529412
scSMD,Baseline,fine_tune,5,0.9823529411764705
scSMD,SmallBatch,scratch,1,0.37058823529411766
scSMD,SmallBatch,scratch,2,0.6647058823529411
scSMD,SmallBatch,scratch,3,0.788235294117647
scSMD,SmallBatch,scratch,4,0.8705882352941177
scSMD,SmallBatch,scratch,5,0.9411764705882353
scSMD,SmallBatch,scratch,6,0.9764705882352941
scSMD,SmallBatch,scratch,7,0.9588235294117647
scSMD,SmallBatch,scratch,8,0.9823529411764705
scSMD,SmallBatch,scratch,9,0.9882352941176471
scSMD,SmallBatch,scratch,10,0.9823529411764705
scSMD,SmallBatch,fine_tune,1,0.8176470588235294
scSMD,SmallBatch,fine_tune,2,0.8529411764705882
scSMD,SmallBatch,fine_tune,3,0.9
scSMD,SmallBatch,fine_tune,4,0.9235294117647059
scSMD,SmallBatch,fine_tune,5,0.9705882352941176
scSMD,SmallBatch,fine_tune,6,0.9588235294117647
scSMD,SmallBatch,fine_tune,7,0.9705882352941176
scSMD,SmallBatch,fine_tune,8,0.9470588235294117
scSMD,SmallBatch,fine_tune,9,0.888235294117647
scSMD,SmallBatch,fine_tune,10,0.888235294117647
scSMD,MixedPrecision,scratch,1,0.3411764705882353
scSMD,MixedPrecision,scratch,2,0.5882352941176471
scSMD,MixedPrecision,scratch,3,0.5882352941176471
scSMD,MixedPrecision,scratch,4,0.8
scSMD,MixedPrecision,scratch,5,0.9117647058823529
scSMD,MixedPrecision,scratch,6,0.9235294117647059
scSMD,MixedPrecision,scratch,7,0.9470588235294117
scSMD,MixedPrecision,scratch,8,0.9823529411764705
scSMD,MixedPrecision,scratch,9,0.9705882352941176
scSMD,MixedPrecision,scratch,10,0.9352941176470588
scSMD,MixedPrecision,fine_tune,1,0.788235294117647
scSMD,MixedPrecision,fine_tune,2,0.8235294117647058
scSMD,MixedPrecision,fine_tune,3,0.8941176470588236
scSMD,MixedPrecision,fine_tune,4,0.8941176470588236
scSMD,MixedPrecision,fine_tune,5,0.9470588235294117
scSMD,MixedPrecision,fine_tune,6,0.8941176470588236
scSMD,MixedPrecision,fine_tune,7,0.9764705882352941
scSMD,MixedPrecision,fine_tune,8,0.9470588235294117
scSMD,MixedPrecision,fine_tune,9,0.9764705882352941
scSMD,MixedPrecision,fine_tune,10,0.9470588235294117
scSMD,ReduceComplexity,scratch,1,0.3235294117647059
scSMD,ReduceComplexity,scratch,2,0.5235294117647059
scSMD,ReduceComplexity,scratch,3,0.5941176470588235
scSMD,ReduceComplexity,scratch,4,0.7
scSMD,ReduceComplexity,scratch,5,0.7764705882352941
scSMD,ReduceComplexity,scratch,6,0.8235294117647058
scSMD,ReduceComplexity,scratch,7,0.8941176470588236
scSMD,ReduceComplexity,scratch,8,0.8941176470588236
scSMD,ReduceComplexity,scratch,9,0.9529411764705882
scSMD,ReduceComplexity,scratch,10,0.9470588235294117
scSMD,ReduceComplexity,fine_tune,1,0.8647058823529412
scSMD,ReduceComplexity,fine_tune,2,0.8823529411764706
scSMD,ReduceComplexity,fine_tune,3,0.9411764705882353
scSMD,ReduceComplexity,fine_tune,4,0.888235294117647
scSMD,ReduceComplexity,fine_tune,5,0.9
scSMD,ReduceComplexity,fine_tune,6,0.9764705882352941
